label;PCL Intersection;Mesh Intersection;image;location
OHB;[1.89898, -1.03713, 4.742, 0.0, -7.67717, -127.257];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[4785 3087] [4912 3149]]
officeJero-Dro-Oran;[1.23418, 0.169534, 3.81132, 0.0, -36.7904, 174.934];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[820 600] [890 813]]
OGK;[1.29886, 0.0379682, 3.84259, 0.0, -37.4861, -179.832];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[1183  721] [1251  803]]
XIT;[-0.891542, 0.139165, 4.13076, 0.0, -12.3147, 178.0];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[ 567 2637] [ 717 2712]]
TangoLab;[1.90213, -0.110923, 4.0421, 0.0, -47.2248, -170.337];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[1877   65] [1953  182]]
EMER:;[-0.802518, -0.57303, 4.01507, 0.0, -14.1141, -170.245];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[1588 2600] [1611 2660]]
Depiton;[-0.814574, -0.580364, 4.08218, 0.0, -13.16, -170.179];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[1580 2662] [1613 2739]]
aFireta;[-0.883255, -0.596627, 4.13889, 0.0, -12.0659, -169.937];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[1592 2742] [1616 2827]]
DCO2SC;[1.41666, -0.862633, 4.78048, 0.0, -5.05757, -145.195];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[3379 3356] [3439 3382]]
COLORAD;[1.36228, -0.967412, 3.67601, 0.0, -36.308, -143.5];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[3160  832] [3627 1285]]
13333116412-303;[1.4695, -1.01154, 3.84245, 0.0, -33.4112, -139.987];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[3548 1235] [3705 1263]]
S/N;[1.49071, -1.03779, 3.85633, 0.0, -33.2885, -138.415];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[3707 1234] [3745 1263]]
Supply;[1.44214, -0.998297, 3.85195, 0.0, -33.0555, -140.725];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[3555 1274] [3611 1295]]
dim;[1.53686, -1.02796, 3.91348, 0.0, -32.7529, -137.977];;data/images/isaac_sci_cam_image_delayed/1657544476.435.jpg;[[3736 1271] [3778 1295]]
